Time,Sport
2023-10-26T19:00:00,11
2023-10-27T16:00:00,6
2023-10-28T21:00:00,12
2023-10-29T13:00:00,10
2023-11-01T19:00:00,1
2023-11-02T18:00:00,15
2023-11-03T18:30:00,6
2023-11-04T16:00:00,5
2023-11-05T16:00:00,14
2023-11-06T19:00:00,1
2023-11-07T19:00:00,2
2023-11-09T20:00:00,2
2023-11-10T12:00:00,0
2023-11-11T19:30:00,12
2023-11-12T14:00:00,4
2023-11-14T18:00:00,1
2023-11-15T08:00:00,5
2023-11-16T18:00:00,15
2023-11-17T08:00:00,5
2023-11-18T19:30:00,12
2023-11-19T14:00:00,1
2023-11-20T12:15:00,2
2023-11-24T12:00:00,1
2023-11-25T12:00:00,12
2023-11-27T20:00:00,2
2023-11-29T19:00:00,1
2023-12-01T18:00:00,10
2023-12-02T12:00:00,2
2023-12-03T16:00:00,1
2023-12-04T17:00:00,2
2023-12-09T14:00:00,2
2023-12-17T14:00:00,2
2023-12-18T12:00:00,1
2023-12-20T19:00:00,2
2023-12-23T19:30:00,12
2023-12-29T13:00:00,1
2024-01-02T17:30:00,2
2024-01-03T19:00:00,1
2024-01-05T19:30:00,2
2024-01-06T12:00:00,1
2024-01-09T20:00:00,2
2024-01-10T18:30:00,1
2024-01-12T08:00:00,5
2024-01-13T18:30:00,2
2024-01-14T08:00:00,5
2024-01-16T19:00:00,2
2024-01-17T19:00:00,1
2024-01-19T18:00:00,4
2024-01-20T15:00:00,1
2024-01-21T18:00:00,9
2024-01-23T13:00:00,3
2024-01-24T20:00:00,2
2024-01-26T08:00:00,17
2024-01-27T18:00:00,2
2024-01-28T14:00:00,4
2024-01-29T08:00:00,13
2024-01-30T18:00:00,2
2024-01-31T11:00:00,1
2024-02-02T20:00:00,2
2024-02-03T13:45:00,8
2024-02-04T14:00:00,4
2024-02-06T19:00:00,2
2024-02-07T17:30:00,1
2024-02-08T08:00:00,13
2024-02-09T19:00:00,4
2024-02-10T14:00:00,1
2024-02-11T13:00:00,9
2024-02-13T19:00:00,2
2024-02-14T18:00:00,1
2024-02-16T18:00:00,4
2024-02-17T19:00:00,2
2024-02-18T15:30:00,9
2024-02-19T14:05:00,7
2024-02-20T19:30:00,2
2024-02-21T19:00:00,1
2024-02-22T08:00:00,5
2024-02-23T19:00:00,2
2024-02-24T14:05:00,7
2024-02-25T14:00:00,4
2024-02-26T14:00:00,7
2024-02-27T20:00:00,2
2024-02-28T19:00:00,1
2024-02-29T11:30:00,3
2024-03-02T19:00:00,2
2024-03-03T13:30:00,7
2024-03-04T14:00:00,3
2024-03-05T18:30:00,1
2024-03-06T18:30:00,2
2024-03-07T08:00:00,17
2024-03-08T18:05:00,7
2024-03-09T17:20:00,9
2024-03-10T16:30:00,1
2024-03-11T08:00:00,5
2024-03-12T17:05:00,7
2024-03-13T16:00:00,16
2024-03-14T08:00:00,5
2024-03-15T19:00:00,4
2024-03-16T15:00:00,6
2024-03-17T15:00:00,16
2024-03-19T18:05:00,7
2024-03-20T12:00:00,3
2024-03-22T17:00:00,7
2024-03-23T18:00:00,4
2024-03-24T13:00:00,3
2024-03-25T08:00:00,13
2024-03-26T17:05:00,7
2024-03-27T16:00:00,16
2024-03-28T16:05:00,7
2024-03-29T08:00:00,17
2024-03-30T13:30:00,3
2024-04-02T18:00:00,7
2024-04-03T18:00:00,6
2024-04-04T14:00:00,4
2024-04-05T08:00:00,17
2024-04-06T14:05:00,7
2024-04-07T13:00:00,9
2024-04-08T08:00:00,8
2024-04-09T16:00:00,7
2024-04-10T16:00:00,6
2024-04-12T08:00:00,17
2024-04-13T15:00:00,16
2024-04-14T13:00:00,9
2024-04-15T08:00:00,13
2024-04-16T08:00:00,8
2024-04-17T15:00:00,6
2024-04-18T14:00:00,3
2024-04-19T18:05:00,7
2024-04-20T15:05:00,7
2024-04-21T13:05:00,7
2024-04-24T10:00:00,3
2024-04-25T10:00:00,3
2024-04-26T08:00:00,17
2024-04-27T15:00:00,6
2024-04-28T12:05:00,7
2024-04-30T15:00:00,7
2024-05-02T15:00:00,6
2024-05-03T14:00:00,7
2024-05-04T12:00:00,7
2024-05-05T11:00:00,7
2024-05-06T08:00:00,8
2024-05-07T14:00:00,7
2024-05-08T08:00:00,8
2024-05-09T08:00:00,17
2024-05-10T18:05:00,7
2024-05-11T14:05:00,7
2024-05-12T13:05:00,7
2024-05-13T08:00:00,13
2024-05-14T08:00:00,13
2024-05-15T08:00:00,13
2024-05-16T18:05:00,7
2024-05-17T18:05:00,7
2024-05-18T12:55:00,8
2024-05-19T12:00:00,8
2024-05-20T12:51:00,8
2024-05-22T08:00:00,17
2024-05-23T13:30:00,7
2024-05-24T18:00:00,7
2024-05-25T18:00:00,7
2024-05-26T13:00:00,7
2024-06-05T08:00:00,17
2024-06-06T08:00:00,17
2024-06-07T08:00:00,17
2024-06-08T08:00:00,17
2024-08-15T18:30:00,11
2024-08-18T12:00:00,11
2024-08-22T19:00:00,14
2024-08-25T15:00:00,14
2024-08-29T19:00:00,11
2024-08-30T15:00:00,0
2024-08-31T13:00:00,15
2024-09-01T18:00:00,14
2024-09-05T19:30:00,14
2024-09-06T10:00:00,15
2024-09-07T16:00:00,12
2024-09-08T09:00:00,15
2024-09-09T08:00:00,8
2024-09-10T08:00:00,13
2024-09-11T08:00:00,8
2024-09-12T18:30:00,14
2024-09-14T16:00:00,12
2024-09-15T19:30:00,14
2024-09-19T18:00:00,11
2024-09-20T19:00:00,12
2024-09-21T17:00:00,15
2024-09-22T08:00:00,13
2024-09-23T19:00:00,14
2024-09-24T18:00:00,15
2024-09-26T18:30:00,11
2024-09-27T19:00:00,14
2024-09-28T14:00:00,15
2024-09-29T12:00:00,11
2024-09-30T08:00:00,8
2024-10-01T08:00:00,8
2024-10-02T08:00:00,3
2024-10-03T18:00:00,15
2024-10-04T08:00:00,5
2024-10-05T17:00:00,14
2024-10-06T12:00:00,11
2024-10-07T08:00:00,13
2024-10-08T08:00:00,13
2024-10-10T19:00:00,15
2024-10-11T15:00:00,0
2024-10-12T14:00:00,15
2024-10-13T13:30:00,14
2024-10-14T08:00:00,3
2024-10-15T08:00:00,3
2024-10-17T19:00:00,11
2024-10-18T08:00:00,8
2024-10-19T13:00:00,12
2024-10-20T15:00:00,14
2024-10-23T19:00:00,15
2024-10-24T17:00:00,11
2024-10-25T16:00:00,10
2024-10-26T19:00:00,14
2024-10-27T14:00:00,4
2024-10-28T08:00:00,8
2024-10-29T19:00:00,2
2024-10-30T18:00:00,1
2024-10-31T19:00:00,15
2024-11-01T09:00:00,0
2024-11-02T12:00:00,15
2024-11-03T13:00:00,14
2024-11-04T19:00:00,2
2024-11-05T14:00:00,1
2024-11-07T18:00:00,15
2024-11-08T18:30:00,2
2024-11-09T13:00:00,1
2024-11-10T19:00:00,2
2024-11-11T18:30:00,2
2024-11-12T18:00:00,1
2024-11-13T15:00:00,14
2024-11-14T19:00:00,15
2024-11-15T12:00:00,10
2024-11-16T17:00:00,14
2024-11-17T14:00:00,1
2024-11-19T19:00:00,15
2024-11-20T19:00:00,2
2024-11-21T17:00:00,1
2024-11-22T19:00:00,12
2024-11-23T11:00:00,10
2024-11-24T14:00:00,1
2024-11-25T17:30:00,2
2024-11-26T20:00:00,2
2024-11-27T19:00:00,2
2024-11-28T13:00:00,1
2024-11-29T08:00:00,15
2024-11-30T14:00:00,15
2024-12-04T18:00:00,1
2024-12-05T08:00:00,17
2024-12-06T08:00:00,17
2024-12-07T13:00:00,1
2024-12-09T19:00:00,2
2024-12-10T18:00:00,1
2024-12-14T19:00:00,2
2024-12-15T14:00:00,1
2024-12-21T19:30:00,2
2024-12-24T17:00:00,12
2024-12-28T14:00:00,2
2024-12-29T13:00:00,1
2024-12-31T14:00:00,2
2025-01-01T13:00:00,1
2025-01-04T15:00:00,2
2025-01-07T19:00:00,2
2025-01-08T18:00:00,1
2025-01-10T08:00:00,17
2025-01-11T13:00:00,1
2025-01-12T14:00:00,4
2025-01-14T19:00:00,2
2025-01-15T17:30:00,1
2025-01-17T19:00:00,4
2025-01-18T15:00:00,2
2025-01-19T11:40:00,9
2025-01-20T12:00:00,4
2025-01-21T09:30:00,3
2025-01-22T18:00:00,1
2025-01-24T16:30:00,9
2025-01-25T16:30:00,2
2025-01-26T14:00:00,4
2025-01-27T08:00:00,8
2025-01-28T19:30:00,2
2025-01-29T18:00:00,1
2025-01-30T11:00:00,3
2025-01-31T18:00:00,4
2025-02-01T14:00:00,2
2025-02-02T11:00:00,9
2025-02-03T08:00:00,8
2025-02-04T19:00:00,2
2025-02-05T17:30:00,1
2025-02-06T08:00:00,13
2025-02-07T18:00:00,4
2025-02-08T15:00:00,9
2025-02-09T13:00:00,9
2025-02-11T20:00:00,2
2025-02-14T19:00:00,2
2025-02-15T15:15:00,9
2025-02-16T12:05:00,6
2025-02-17T08:00:00,8
2025-02-19T18:30:00,2
2025-02-20T15:05:00,7
2025-02-21T20:30:00,6
2025-02-22T19:30:00,6
2025-02-23T14:00:00,4
2025-02-25T19:00:00,2
2025-02-26T16:00:00,1
2025-02-28T16:45:00,6
2025-03-01T14:00:00,16
2025-03-02T14:30:00,3
2025-03-03T08:00:00,8
2025-03-04T19:00:00,1
2025-03-05T17:00:00,6
2025-03-07T19:00:00,4
2025-03-08T08:00:00,17
2025-03-09T19:00:00,1
2025-03-10T08:00:00,13
2025-03-11T17:05:00,7
2025-03-12T16:00:00,7
2025-03-13T12:00:00,2
2025-03-14T16:00:00,6
2025-03-15T17:30:00,7
2025-03-16T14:00:00,4
2025-03-17T13:00:00,16
2025-03-19T20:00:00,2
2025-03-21T18:05:00,7
2025-03-22T15:00:00,6
2025-03-23T13:00:00,9
2025-03-24T08:00:00,13
2025-03-25T18:05:00,7
2025-03-27T18:00:00,6
2025-03-28T18:05:00,7
2025-03-29T14:05:00,7
2025-03-30T12:05:00,7
2025-04-01T18:00:00,7
2025-04-02T17:00:00,6
2025-04-03T12:00:00,4
2025-04-04T16:05:00,7
2025-04-05T15:00:00,6
2025-04-06T12:05:00,7
2025-04-07T08:00:00,8
2025-04-08T17:00:00,7
2025-04-09T16:00:00,16
2025-04-10T13:00:00,16
2025-04-11T18:05:00,7
2025-04-12T15:00:00,6
2025-04-13T13:00:00,9
2025-04-14T08:00:00,13
2025-04-15T18:05:00,7
2025-04-16T08:00:00,8
2025-04-17T18:05:00,7
2025-04-18T18:05:00,7
2025-04-19T12:05:00,7
2025-04-22T14:00:00,7
2025-04-23T17:00:00,6
2025-04-24T10:45:00,16
2025-04-25T18:50:00,6
2025-04-26T15:00:00,6
2025-04-27T12:40:00,6
2025-04-30T18:05:00,7
2025-05-01T18:00:00,6
2025-05-02T18:05:00,7
2025-05-03T14:05:00,7
2025-05-04T12:05:00,7
2025-05-05T08:00:00,8
2025-05-06T08:00:00,8
2025-05-07T18:00:00,6
2025-05-09T18:05:00,7
2025-05-10T15:05:00,7
2025-05-11T13:05:00,7
2025-05-15T18:05:00,7
2025-05-16T18:05:00,7
2025-05-17T13:05:00,7
2025-05-21T13:05:00,7
2025-05-22T18:05:00,7
2025-05-23T22:10:00,7
2025-05-24T12:05:00,7
2025-05-28T08:00:00,17
2025-05-29T08:00:00,17
2025-05-30T08:00:00,17
2025-05-31T08:00:00,17
2025-06-11T08:00:00,17
2025-06-12T08:00:00,17
2025-06-13T08:00:00,17
2025-06-14T08:00:00,17
2025-08-14T19:30:00,11
2025-08-17T12:00:00,11
2025-08-21T19:00:00,11
2025-08-24T17:00:00,14
2025-08-28T17:00:00,11
2025-08-29T19:30:00,12
2025-08-30T14:40:00,10
2025-08-31T12:00:00,11
2025-09-03T16:00:00,15
2025-09-04T22:00:00,15
2025-09-05T19:45:00,15
2025-09-06T15:00:00,10
2025-09-07T15:00:00,14
2025-09-08T08:00:00,8
2025-09-09T08:00:00,13
2025-09-10T08:00:00,8
2025-09-11T19:00:00,14
2025-09-12T08:00:00,3
2025-09-13T13:00:00,15
2025-09-14T15:00:00,15
2025-09-15T08:00:00,8
2025-09-16T18:00:00,15
2025-09-17T19:00:00,14
2025-09-18T18:00:00,10
