startTime,temperature_F,shortForecast
2025-02-02T12:00:00,62,Partly Cloudy
2025-02-03T12:00:00,58,Partly Cloudy
2025-02-04T12:00:00,52,Rain
2025-02-05T12:00:00,46,Cold
2025-02-06T12:00:00,50,Rain
2025-02-07T12:00:00,51,Partly Cloudy
2025-02-08T12:00:00,47,Cold
2025-02-09T12:00:00,46,Cold
2025-02-10T12:00:00,46,Cold
2025-02-11T12:00:00,44,Rain
2025-02-12T12:00:00,49,Rain
2025-02-13T12:00:00,56,Rain
2025-02-14T12:00:00,51,Rain
2025-02-15T12:00:00,48,Cold
2025-02-16T12:00:00,52,Partly Cloudy
2025-02-17T12:00:00,52,Partly Cloudy
2025-02-18T12:00:00,54,Partly Cloudy
2025-02-19T12:00:00,54,Partly Cloudy
2025-02-20T12:00:00,56,Partly Cloudy
2025-02-21T12:00:00,54,Partly Cloudy
2025-02-22T12:00:00,56,Partly Cloudy
2025-02-23T12:00:00,56,Partly Cloudy
2025-02-24T12:00:00,60,Partly Cloudy
2025-02-25T12:00:00,57,Partly Cloudy
2025-02-26T12:00:00,58,Partly Cloudy
2025-02-27T12:00:00,62,Partly Cloudy
2025-02-28T12:00:00,63,Partly Cloudy
2025-03-01T12:00:00,55,Partly Cloudy
2025-03-02T12:00:00,54,Rain
2025-03-03T12:00:00,54,Partly Cloudy
2025-03-04T12:00:00,54,Partly Cloudy
2025-03-05T12:00:00,52,Rain
2025-03-06T12:00:00,50,Rain
2025-03-07T12:00:00,52,Partly Cloudy
2025-03-08T12:00:00,54,Partly Cloudy
2025-03-09T12:00:00,54,Partly Cloudy
2025-03-10T12:00:00,56,Partly Cloudy
2025-03-11T12:00:00,54,Partly Cloudy
2025-03-12T12:00:00,52,Rain
2025-03-13T12:00:00,50,Rain
2025-03-14T12:00:00,50,Rain
2025-03-15T12:00:00,52,Partly Cloudy
2025-03-16T12:00:00,54,Rain
2025-03-17T12:00:00,54,Rain
2025-03-18T12:00:00,52,Partly Cloudy
2025-03-19T12:00:00,50,Partly Cloudy
2025-03-20T12:00:00,54,Partly Cloudy
2025-03-21T12:00:00,53,Partly Cloudy
2025-03-22T12:00:00,54,Partly Cloudy
2025-03-23T12:00:00,60,Partly Cloudy
2025-03-24T12:00:00,64,Partly Cloudy
2025-03-25T12:00:00,70,Clear
2025-03-26T12:00:00,59,Partly Cloudy
2025-03-27T12:00:00,58,Partly Cloudy
2025-03-28T12:00:00,56,Rain
2025-03-29T12:00:00,53,Partly Cloudy
2025-03-30T12:00:00,59,Partly Cloudy
2025-03-31T12:00:00,54,Rain
2025-04-01T12:00:00,52,Rain
2025-04-02T12:00:00,52,Partly Cloudy
2025-04-03T12:00:00,52,Partly Cloudy
2025-04-04T12:00:00,56,Partly Cloudy
2025-04-05T12:00:00,60,Partly Cloudy
2025-04-06T12:00:00,60,Partly Cloudy
2025-04-07T12:00:00,60,Partly Cloudy
2025-04-08T12:00:00,60,Partly Cloudy
2025-04-09T12:00:00,62,Partly Cloudy
2025-04-10T12:00:00,63,Partly Cloudy
2025-04-11T12:00:00,64,Partly Cloudy
2025-04-12T12:00:00,58,Partly Cloudy
2025-04-13T12:00:00,63,Partly Cloudy
2025-04-14T12:00:00,66,Clear
2025-04-15T12:00:00,62,Partly Cloudy
2025-04-16T12:00:00,58,Partly Cloudy
2025-04-17T12:00:00,58,Partly Cloudy
2025-04-18T12:00:00,61,Partly Cloudy
2025-04-19T12:00:00,59,Partly Cloudy
2025-04-20T12:00:00,62,Partly Cloudy
2025-04-21T12:00:00,62,Partly Cloudy
2025-04-22T12:00:00,62,Partly Cloudy
2025-04-23T12:00:00,57,Partly Cloudy
2025-04-24T12:00:00,54,Partly Cloudy
2025-04-25T12:00:00,54,Rain
2025-04-26T12:00:00,55,Partly Cloudy
2025-04-27T12:00:00,54,Rain
2025-04-28T12:00:00,58,Partly Cloudy
2025-04-29T12:00:00,64,Partly Cloudy
2025-04-30T12:00:00,66,Clear
